id,ort,strecke,start_lat,start_lon,ziel_lat,ziel_lon,standard_zeit,8_uhr,8_uhr_stau,9_uhr,9_uhr_stau,10_uhr,10_uhr_stau,11_uhr,11_uhr_stau,12_uhr,12_uhr_stau,13_uhr,13_uhr_stau,14_uhr,14_uhr_stau,15_uhr,15_uhr_stau,16_uhr,16_uhr_stau,17_uhr,17_uhr_stau
43,Brücke d. Deutschen Einheit,Mainaustraße Zellerau - Mainaustraße,49.802146,9.915255,49.799841,9.919558,65,70,5,64,-1,60,-5,64,-1,68,3,71,6,66,1,67,2,79,14,89,24
44,Brücke d. Deutschen Einheit,Mainaustraße - Georg Eydel Straße,49.799672,9.919889,49.800012,9.917464,55,62,7,58,3,53,-2,54,-1,57,2,58,3,58,3,63,8,58,3,64,9
45,Brücke d. Deutschen Einheit,Georg Eydel Straße - Mainaustraße,49.799323,9.917219,49.799841,9.919558,57,70,13,58,1,52,-5,57,0,56,-1,65,8,59,2,65,8,69,12,78,21
46,Brücke d. Deutschen Einheit,Brücke d. Deutschen Einheit - Georg Eydel Straße,49.802317,9.920445,49.800012,9.917464,51,67,16,45,-6,44,-7,49,-2,50,-1,56,5,57,6,60,9,71,20,86,35
47,Brücke d. Deutschen Einheit,Georg Eydel Straße - Brücke d. Deutschen Einheit,49.799323,9.917219,49.801341,9.91922,49,60,11,50,1,48,-1,47,-2,50,1,56,7,52,3,56,7,61,12,66,17
48,Brücke d. Deutschen Einheit,Brücke d. Deutschen Einheit - Mainaustraße Zellerau,49.802317,9.920445,49.801292,9.917406,50,63,13,43,-7,43,-7,50,0,49,-1,55,5,54,4,58,8,68,18,80,30
49,Brücke d. Deutschen Einheit,Mainaustraße Zellerau - Brücke d. Deutschen Einheit,49.802146,9.915255,49.801341,9.91922,63,65,2,61,-2,60,-3,60,-3,67,4,67,4,64,1,63,0,76,13,83,20
50,Brücke d. Deutschen Einheit,Mainaustraße Zellerau - Georg Eydel Straße,49.802146,9.915255,49.800012,9.917464,56,59,3,53,-3,54,-2,55,-1,60,4,62,6,60,4,57,1,70,14,75,19
51,Brücke d. Deutschen Einheit,Georg Eydel Straße - Mainaustraße Zellerau,49.799323,9.917219,49.801292,9.917406,54,62,8,52,-2,52,-2,55,1,55,1,62,8,57,3,61,7,64,10,67,13
52,Berliner Ring,Haugering - Schweinfurter Straße,49.799666,9.939909,49.798814,9.94508,87,100,13,91,4,88,1,96,9,98,11,110,23,98,11,98,11,110,23,119,32
53,Berliner Ring,Schweinfurter Straße - Haugering,49.798995,9.947263,49.799685,9.940161,96,152,56,109,13,105,9,110,14,104,8,105,9,105,9,108,12,111,15,117,21
54,Berliner Ring,Haugering - Martin Luther Straße,49.799666,9.939909,49.79752,9.943752,69,82,13,73,4,70,1,74,5,76,7,84,15,76,7,77,8,86,17,92,23
55,Berliner Ring,Martin Luther Straße - Haugering,49.797269,9.944253,49.799685,9.940161,78,92,14,83,5,78,0,88,10,87,9,93,15,87,9,90,12,99,21,104,26
56,Berliner Ring,Haugering - Grombühlbrücke,49.799666,9.939909,49.799672,9.943301,90,108,18,92,2,91,1,98,8,99,9,111,21,99,9,102,12,114,24,118,28
57,Berliner Ring,Schweinfurter Straße - Grombühlbrücke,49.798995,9.947263,49.799672,9.943301,72,104,32,84,12,80,8,85,13,80,8,81,9,82,10,84,12,89,17,90,18
58,Berliner Ring,Grombühlbrücke - Schweinfurter Straße,49.801006,9.943526,49.798814,9.94508,106,158,52,114,8,108,2,113,7,113,7,143,37,117,11,118,12,144,38,164,58
59,Berliner Ring,Schweinfurter Straße - Martin Luther Straße,49.798995,9.947263,49.79752,9.943752,105,176,71,145,40,114,9,145,40,117,12,144,39,119,14,144,39,152,47,162,57
60,Berliner Ring,Martin Luther Straße - Schweinfurter Straße,49.797269,9.944253,49.798814,9.94508,52,61,9,56,4,50,-2,61,9,62,10,68,16,63,11,62,10,72,20,78,26
61,Berliner Ring,Martin Luther Straße - Grombühlbrücke,49.797269,9.944253,49.799672,9.943301,54,69,15,58,4,53,-1,63,9,63,9,70,16,63,9,66,12,77,23,77,23
62,Berliner Ring,Grombühlbrücke - Martin Luther Straße,49.801006,9.943526,49.79752,9.943752,87,114,27,96,9,89,2,91,4,91,4,98,11,94,7,98,11,103,16,111,24
63,Löwenbrücke,Mergentheimer Straße - Max Mohr Straße,49.78965,9.925173,49.785791,9.929287,129,219,90,167,38,151,22,150,21,141,12,158,29,155,26,161,32,156,27,166,37
64,Löwenbrücke,Max Mohr Straße - Mergentheimer Straße,49.785841,9.929334,49.788491,9.925032,84,96,12,84,0,90,6,91,7,94,10,92,8,94,10,98,14,96,12,98,14
65,Löwenbrücke,Max Mohr Straße - Leistenstraße,49.785841,9.929334,49.787726,9.92355,88,98,10,88,0,95,7,96,8,96,8,96,8,100,12,104,16,100,12,103,15
66,Löwenbrücke,Leistenstraße - Max Mohr Straße,49.787708,9.922383,49.785791,9.929287,126,226,100,160,34,148,22,138,12,137,11,144,18,148,22,157,31,143,17,153,27
67,Löwenbrücke,Mergentheimer Straße,49.78965,9.925173,49.78603,9.924554,72,84,12,69,-3,74,2,75,3,72,0,82,10,76,4,79,7,80,8,80,8
68,Mergentheimer Straße,B19 - Sportzentrum,49.767872,9.936326,49.76977,9.9363,44,42,-2,41,-3,44,0,45,1,45,1,47,3,47,3,51,7,44,0,43,-1
69,Mergentheimer Straße,B19 - Heidingsfeld,49.767872,9.936326,49.768615,9.937984,46,45,-1,43,-3,47,1,50,4,49,3,52,6,51,5,56,10,46,0,46,0
70,Mergentheimer Straße,Heidingsfeld - B19,49.767834,9.940666,49.767537,9.935779,74,73,-1,73,-1,72,-2,78,4,80,6,88,14,79,5,81,7,76,2,78,4
71,Mergentheimer Straße,Sportzentrum - B19,49.77026,9.935522,49.767537,9.935779,35,37,2,33,-2,35,0,34,-1,36,1,38,3,38,3,39,4,36,1,39,4
72,Mergentheimer Straße,Sportzentrum - Heidingsfeld,49.77026,9.935522,49.768615,9.937984,34,41,7,33,-1,34,0,36,2,35,1,40,6,39,5,40,6,36,2,39,5
73,Mergentheimer Straße,Heidingsfeld - Sportzentrum,49.767834,9.940666,49.76977,9.9363,52,52,0,50,-2,49,-3,56,4,57,5,64,12,56,4,55,3,54,2,54,2
74,Alter Kranen,Kranenkai - Juliuspromenade,49.797394,9.925647,49.796446,9.927857,59,59,0,57,-2,57,-2,63,4,65,6,58,-1,59,0,63,4,64,5,66,7
75,Alter Kranen,Kranenkai - Karmelitenstraße,49.797394,9.925647,49.795812,9.927124,54,53,-1,53,-1,54,0,61,7,67,13,53,-1,56,2,64,10,66,12,62,8
76,Alter Kranen,Kranenkai - Mainkai,49.797394,9.925647,49.795536,9.926698,49,49,0,48,-1,47,-2,52,3,51,2,50,1,49,0,52,3,55,6,59,10
77,Alter Kranen,Mainkai - Gerberstraße,49.793833,9.926935,49.797256,9.926346,75,77,2,74,-1,76,1,83,8,83,8,87,12,85,10,83,8,89,14,81,6
78,Alter Kranen,Mainkai - Juliuspromenade,49.793833,9.926935,49.796446,9.927857,79,82,3,77,-2,80,1,87,8,88,9,89,10,89,10,85,6,92,13,84,5
79,Alter Kranen,Juliuspromenade - Gerberstraße,49.796632,9.92808,49.797256,9.926346,41,40,-1,43,2,40,-1,48,7,44,3,45,4,43,2,45,4,55,14,45,4
